ID |Name |Alias |CAS |Pure |Formula |BibTeX 
:--|:----|:-----|:---|:----|:-------|:------
1 | 1-Butene | 1Butene, 1BUTENE, 1-BUTENE, Butene | 106-98-9 | true | C_{4}H_{8} |  BibTeX-CONDUCTIVITY: BibTeX-EOS:Lemmon-FPE-2005 BibTeX-CP0: BibTeX-SURFACE_TENSION:Mulero-JPCRD-2012 BibTeX-MELTING_LINE: BibTeX-VISCOSITY:
2 | Acetone | acetone, ACETONE | 67-64-1 | true | C_{3}H_{6}O_{1} |  BibTeX-CONDUCTIVITY: BibTeX-EOS:Lemmon-JCED-2006 BibTeX-CP0: BibTeX-SURFACE_TENSION:Mulero-JPCRD-2012 BibTeX-MELTING_LINE: BibTeX-VISCOSITY:
3 | Air | air, AIR, R729 | AIR.PPF | false | N/A |  BibTeX-CONDUCTIVITY:Lemmon-IJT-2004 BibTeX-EOS:Lemmon-JPCRD-2000 BibTeX-CP0: BibTeX-SURFACE_TENSION: BibTeX-MELTING_LINE: BibTeX-VISCOSITY:Lemmon-IJT-2004
4 | Ammonia | NH3, ammonia, R717, AMMONIA | 7664-41-7 | true | H_{3}N_{1} |  BibTeX-CONDUCTIVITY:Tufeu-BBPC-1984 BibTeX-EOS:TillnerRoth-DKV-1993 BibTeX-CP0: BibTeX-SURFACE_TENSION:Mulero-JPCRD-2012 BibTeX-MELTING_LINE: BibTeX-VISCOSITY:Fenghour-JPCRD-1995
5 | Argon | argon, ARGON, R740, Ar | 7440-37-1 | true | Ar_{1} |  BibTeX-CONDUCTIVITY:Lemmon-IJT-2004 BibTeX-EOS:Tegeler-JPCRD-1999 BibTeX-CP0: BibTeX-SURFACE_TENSION:Mulero-JPCRD-2012 BibTeX-MELTING_LINE:Tegeler-JPCRD-1999 BibTeX-VISCOSITY:Lemmon-IJT-2004
6 | Benzene | benzene, BENZENE | 71-43-2 | true | C_{6}H_{6} |  BibTeX-CONDUCTIVITY:Assael-JPCRD-2012-Benzene BibTeX-EOS:Thol-HTHP-2012 BibTeX-CP0: BibTeX-SURFACE_TENSION:Mulero-JPCRD-2012 BibTeX-MELTING_LINE: BibTeX-VISCOSITY:Avgeri-JPCRD-2014-Benzene
7 | CarbonDioxide | R744, co2, CO2, carbondioxide, CARBONDIOXIDE | 124-38-9 | true | C_{1}O_{2} |  BibTeX-CONDUCTIVITY:Scalabrin-JPCRD-2006-CO2 BibTeX-EOS:Span-JPCRD-1996 BibTeX-CP0: BibTeX-SURFACE_TENSION:Mulero-JPCRD-2012 BibTeX-MELTING_LINE:Span-JPCRD-1996 BibTeX-VISCOSITY:Fenghour-JPCRD-1998
8 | CarbonMonoxide | CO, CARBONMONOXIDE | 630-08-0 | true | C_{1}O_{1} |  BibTeX-CONDUCTIVITY: BibTeX-EOS:Lemmon-JCED-2006 BibTeX-CP0: BibTeX-SURFACE_TENSION:Mulero-JPCRD-2012 BibTeX-MELTING_LINE:Barreiros-JCT-1982 BibTeX-VISCOSITY:
9 | CarbonylSulfide | COS, CARBONYLSULFIDE | 463-58-1 | true | C_{1}O_{1}S_{1} |  BibTeX-CONDUCTIVITY: BibTeX-EOS:Lemmon-JCED-2006 BibTeX-CP0: BibTeX-SURFACE_TENSION:Mulero-JPCRD-2012 BibTeX-MELTING_LINE: BibTeX-VISCOSITY:
10 | cis-2-Butene | Cis-2-Butene, CIS-2-BUTENE, C2BUTENE | 590-18-1 | true | C_{4}H_{8} |  BibTeX-CONDUCTIVITY: BibTeX-EOS:Lemmon-FPE-2005 BibTeX-CP0: BibTeX-SURFACE_TENSION:Mulero-JPCRD-2014 BibTeX-MELTING_LINE: BibTeX-VISCOSITY:
