Paramerer |Description |Unit |Comment
:---------|:-----------|:----|:-------
A | Speed of sound | m/s |
ACENTRIC | Acentric factor | - |  **Constant Property**
ALPHA0 | Ideal Helmholtz energy | - |
ALPHAR | Residual Helmholtz energy | - |
BVIRIAL | Second virial coefficient | - |
Bvirial | Second virial coefficient | - |  *Duplicated*
C | Mass specific constant pressure specific heat | J/kg/K |
CONDUCTIVITY | Thermal conductivity | W/m/K |
CP0MASS | Ideal gas mass specific constant pressure specific heat | J/kg/K |
CP0MOLAR | Ideal gas molar specific constant pressure specific heat | J/mol/K |
CPMASS | Mass specific constant pressure specific heat | J/kg/K |  *Duplicated*
CPMOLAR | Molar specific constant pressure specific heat | J/mol/K |
CVIRIAL | Third virial coefficient | - |
CVMASS | Mass specific constant volume specific heat | J/kg/K |
CVMOLAR | Molar specific constant volume specific heat | J/mol/K |
Cp0mass | Ideal gas mass specific constant pressure specific heat | J/kg/K |  *Duplicated*
Cp0molar | Ideal gas molar specific constant pressure specific heat | J/mol/K |  *Duplicated*
Cpmass | Mass specific constant pressure specific heat | J/kg/K |  *Duplicated*
Cpmolar | Molar specific constant pressure specific heat | J/mol/K |  *Duplicated*
Cvirial | Third virial coefficient | - |  *Duplicated*
Cvmass | Mass specific constant volume specific heat | J/kg/K |  *Duplicated*
Cvmolar | Molar specific constant volume specific heat | J/mol/K |  *Duplicated*
D | Mass density | kg/m^3 |
DALPHA0_DDELTA_CONSTTAU | Derivative of ideal Helmholtz energy with delta | - |
DALPHA0_DTAU_CONSTDELTA | Derivative of ideal Helmholtz energy with tau | - |
DALPHAR_DDELTA_CONSTTAU | Derivative of residual Helmholtz energy with delta | - |
DALPHAR_DTAU_CONSTDELTA | Derivative of residual Helmholtz energy with tau | - |
DBVIRIAL_DT | Derivative of second virial coefficient with respect to T | - |
DCVIRIAL_DT | Derivative of third virial coefficient with respect to T | - |
DELTA | Reduced density (rho/rhoc) | - |
DIPOLE_MOMENT | Dipole moment | C-m |
